真异常	新数据	假异常	准确率	错误率	敏感度	特效性	精度	精度和召回率的调和均值
232		811		31		89.5%	10.5%	98.75%	44.96%	98.75%	98.75%
264		891		150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
505		3084	360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
286		10580	2478	9.73%	90.27%	0.24%	55.43%	0.24%	0.24%
198		2618	1194	49.6%	50.4%	51.93%	38.37%	51.93%	51.93%
264		868		150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
203		2848	1192	49.83%	50.17%	52.01%	39.34%	52.01%	52.01%
253		963		117		87.33%	12.67%	95.29%	49.03%	95.29%	95.29%
264		1185	150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
198		3763		1194		49.6%	50.4%	51.93%	38.37%	51.93%	51.93%
264		570		150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
505		453		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
264		759		150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
505		852		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
505		463		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
438		2809		365		85.23%	14.77%	85.31%	84.88%	85.31%	85.31%
204		2177		1200		49.6%	50.4%	51.69%	39.53%	51.69%	51.69%
264		1360		150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
278		873		307		81.83%	18.17%	87.64%	53.88%	87.64%	87.64%
505		851		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
440		2848		368		85.2%	14.8%	85.19%	85.27%	85.19%	85.19%
232		628		44		89.07%	10.93%	98.23%	44.96%	98.23%	98.23%
505		456		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
199		1655		1197		49.53%	50.47%	51.81%	38.57%	51.81%	51.81%
264		783		150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
131		1859		529		69.53%	30.47%	78.7%	25.39%	78.7%	78.7%
